Site No,Site Name,Street Address,"City, State Zip",County,Enf. Issue,Resolved Date,Violation(SNC) Date
64792,Shoppes at Apple Green,10125 Ward Rd.,"Dunkirk,MD,20754",Calvert,Environmental/Health Impact,07/15/2014,12/09/2013
64794,Speedy clean car wash,1320 Smallwood Dr West,"Waldorf,MD,20602",Charles,Environmental/Health Impact,01/26/2017,05/16/2013
64798,DONALD HAYDEN JR FHO,45603 DRAYDEN RD,"Valley Lee,MD,20692",St. Mary's,Environmental/Health Impact,09/11/2012,12/16/2008
64875,625 Hutchins Rd,625 Hutchins Rd,"Dowell,MD,20629",Calvert,Environmental/Health Impact,11/20/2012,10/21/2008
64881,MD193 and Kings Valley Drive,MD 193 and Kings Valley Dr,"Mitchellville,MD,20774",Prince George's,Environmental/Health Impact,09/25/2012,05/13/2009
64923,Wayne's Seed & Feed,10-1 Cedar St,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,01/11/2011,10/29/2008
64929,Omar Kassem's pier,8340 Taurus Lane,"Port Tobacco,MD,20677",Charles,Environmental/Health Impact,02/08/2017,03/05/2008
64929,Omar Kassem's pier,8340 Taurus Lane,"Port Tobacco,MD,20677",Charles,Environmental/Health Impact,02/09/2018,03/05/2008
64960,Ray Schummer,1200 DIXONA DR,"Edgewater,MD,21106",Anne Arundel,Environmental/Health Impact,07/28/2016,04/02/2010
65118,Chestnut Point Marina,85 Chestnut Point Rd,"Perryville,MD,21903",Cecil,Environmental/Health Impact,09/04/2014,06/19/2007
65121,8559 Brad Court,8559 Brad Ct,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,03/03/2012,11/19/2008
65169,DONALD LITTLE,43401 OLD WHARF RD,"Hollywood,MD,20636",St. Mary's,Environmental/Health Impact,05/07/2018,11/21/2007
65169,DONALD LITTLE,43401 OLD WHARF RD,"Hollywood,MD,20636",St. Mary's,Environmental/Health Impact,05/07/2018,11/21/2007
65180,08-GL-1366 Town of Perryville Meck Property,61 RIVER RD,"Perryville,MD,21903",Cecil,Environmental/Health Impact,09/26/2013,03/26/2008
65227,"BA Property Management-James Riffin, 10919 York Road",10919 York Rd,"Cockeysville,MD,21031",Baltimore,Environmental/Health Impact,06/19/2018,03/04/2004
65258,Caulk Lane Medical Office Building,508 IDLEWILD AVE,"Easton,MD,21601",Talbot,Environmental/Health Impact,09/03/2013,11/17/2009
65293,Eastern Rd.,Eastern Rd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,12/04/2020,07/01/2009
65329,Richard Balling,5559 Morris Neck Road,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,12/10/2013,10/20/2006
65331,South Stream Phase I,Whitehall Rd,"Elkton,MD,21921",Cecil,Environmental/Health Impact,11/13/2014,05/15/2009
65333,St. Mary's Villas,St. Mary's Ave & Hibiscus Ct,"La Plata,MD,20646",Charles,Environmental/Health Impact,01/05/2016,08/12/2015
65345,Seaside View Mobile Home Park,48593 Seaside View Rd,"Ridge,MD,20680",St. Mary's,Environmental/Health Impact,,11/18/2008
65352,Karen Musselman,734 Lake Path,"Crownsville,MD,21032",Anne Arundel,Environmental/Health Impact,05/14/2010,10/02/2008
65352,Karen Musselman,734 Lake Path,"Crownsville,MD,21032",Anne Arundel,Environmental/Health Impact,05/14/2010,10/02/2008
65352,Karen Musselman,734 Lake Path,"Crownsville,MD,21032",Anne Arundel,Environmental/Health Impact,05/14/2010,10/02/2008
65371,Invert Paving Repair For Structure No. 17082X0 Md. 309 Over Norwich Creek,"MD 309 over branch of Norwich Creek, Norwich Creek","Queen Anne,MD,21657",Queen Anne's,Environmental/Health Impact,03/21/2014,11/04/2008
65388,LAI Constn - pumping @ Moravia Pk Rd,Moravia Pk Rd @ I-895,"Baltimore,MD,21206",Baltimore City,Environmental/Health Impact,11/12/2013,10/29/2008
65394,Carl H. Gross,5174 Ed. Prout Rd,"Lothian,MD,20711-0098",Anne Arundel,Environmental/Health Impact,11/14/2016,08/08/2007
65406,MdTA I-95: Rossville Blvd to Campbell Blvd,"I-95/895 N IN BC ON 95 TO N OF RT 43, 95 TO N OF RT 43","White Marsh,MD,21237",Baltimore,Environmental/Health Impact,05/27/2014,11/03/2008
65451,ABBERLY CREST PHASE 2,ABBERLY CREST DR,"Lexington Park,MD,20653",St. Mary's,Environmental/Health Impact,07/14/2015,03/25/2015
65474,Joseph and Mary Dougherty,5632 Ross Neck Rd,"Cambridge,MD,21613",Dorchester,,03/22/2017,11/07/2008
65516,1534 Denton Road - Bulkhead,1534 Denton Road,"Essex,MD,21221",Baltimore,Environmental/Health Impact,10/03/2012,11/21/2008
65553,"FDA Consolidation, Whte Oak- Building #1","FDA White Oak Campus Building #1, White Oak","White Oak,MD,20903",Montgomery,Environmental/Health Impact,01/27/2015,02/10/2009
65554,FDA Consolidation - White Oakr - CDRH Office,"Tributary to Paint Branch downgrade of SWM Pond 1 and 2, East of East Loop Rd, FDA White Oak Campus","White Oak,MD,20903",Montgomery,Environmental/Health Impact,01/27/2015,11/24/2008
65587,Schumaker Landing,South Schumaker Drive,"Salisbury,MD,21802",Wicomico,Environmental/Health Impact,05/22/2018,07/14/2009
65700,Greenway Farm Phase II & III,off Pulaski Hwy,"Havre De Grace,MD,21078",Harford,Environmental/Health Impact,09/27/2010,09/09/2008
65703,Cerny Property 3647 Old Robin Hood Road,3647B Old Robin Hood Road,"Aberdeen,MD,21001",Harford,Environmental/Health Impact,05/05/2009,06/13/2007
65719,Severna Park Yacht Basin LLC,454 Severn Road,"Severna Park,MD,21146",Anne Arundel,Environmental/Health Impact,,06/04/2015
65741,Fields Koros Property 2406 Philadelphia Road,2406 Philadelphia Rd,"Edgewood,MD,21040",Harford,Environmental/Health Impact,03/03/2017,01/31/2007
65753,WILDEWOOD RETIREMENT VILLAGE,Wildewood Pkwy,"California,MD,20619",St. Mary's,,06/06/2014,02/03/2014
65753,WILDEWOOD RETIREMENT VILLAGE,Wildewood Pkwy,"California,MD,20619",St. Mary's,Environmental/Health Impact,06/06/2014,02/03/2014
65753,WILDEWOOD RETIREMENT VILLAGE,Wildewood Pkwy,"California,MD,20619",St. Mary's,,11/06/2013,07/11/2013
65753,WILDEWOOD RETIREMENT VILLAGE,Wildewood Pkwy,"California,MD,20619",St. Mary's,Environmental/Health Impact,11/08/2013,07/11/2013
65807,Supertel Limited Partnership Beacon Marina,255 Lore Road,"Solomons,MD,20688",Calvert,Environmental/Health Impact,09/17/2013,08/23/2012
65865,Michael C. Fitzpatrick,11910 Emerald Court,"Ellicott City,MD,21043",Howard,Environmental/Health Impact,09/22/2017,05/11/2015
65946,4230 Lynhurst Rd Jacki Gardner,"4230 Lynhurst Rd, Jacki & Dave Gardner","Dundalk,MD,21222",Baltimore,Environmental/Health Impact,10/05/2012,01/16/2009
65952,Chris Larrimore/Mark Stonisfer,LOT 5 CORSICA RIVER EST,"Centreville,MD,21617",Queen Anne's,Environmental/Health Impact,02/05/2014,09/09/2009
65996,Old Town Builders - Frank Willing Properties,407 Rolling Rd,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,05/13/2014,02/24/2009
66036,David Crothamel,69 Snug Harbor Way,"Earleville,MD,21913",Cecil,Environmental/Health Impact,12/04/2013,04/17/2009
66043,Angel Enterprises Limited Partnership,7751 Rollyston Dr,"Saint Michaels,MD,21663",Talbot,Environmental/Health Impact,06/14/2013,02/12/2009
66083,Mill Island at Wormans Mill,Mill Island Pkwy,"Frederick,MD,21701",Frederick,Environmental/Health Impact,07/28/2015,03/24/2015
66111,2042 Knollview Dr.,"2042 Knollview Dr, Celebration At the Bay","Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,10/20/2017,03/03/2009
66128,Button Property / Dave's Trucking,2776 Sharon Rd,"Jarrettsville,MD,21084",Harford,Environmental/Health Impact,06/07/2012,03/26/2009
66147,Martin Pier Bulkhead 878 Nabbs Creek,878 Nabbs Creek Rd,"Glen Burnie,MD,21060",Anne Arundel,Environmental/Health Impact,,03/04/2009
66231,"Bronson Contracting, Inc",1000 Kembo Road,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,03/11/2013,03/03/2011
66231,"Bronson Contracting, Inc",1000 Kembo Road,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,03/11/2013,06/25/2008
66233,Meshack Browning Club - Rodney Youmans,River Rd.,"Grantsville,MD,21536",Garrett,Environmental/Health Impact,05/07/2014,03/16/2009
66241,Alexander C Landsburg,39001 Van Ward Rd,"Abell,MD,20606",St. Mary's,Environmental/Health Impact,02/14/2013,02/27/2009
66257,Conowingo Mobile Home Court,124 Mount Zoar Rd,"Conowingo,MD,21918",Cecil,Environmental/Health Impact,,12/30/2019
66257,Conowingo Mobile Home Court,124 Mount Zoar Rd,"Conowingo,MD,21918",Cecil,Environmental/Health Impact,04/02/2018,04/02/2018
66257,Conowingo Mobile Home Court,124 Mount Zoar Rd,"Conowingo,MD,21918",Cecil,Environmental/Health Impact,10/23/2012,05/15/2008
66279,Advance Auto Parts,325 E Washington St,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,01/09/2015,08/12/2010
66338,American Outback Septic Service,34265 Tingle Rd,"Pittsville,MD,21850",Wicomico,Environmental/Health Impact,11/09/2011,03/24/2009
66364,Allen Smith,5014 David Green Rd,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,12/21/2011,01/08/2009
66431,Joseph P. Wilkinson FHO,23700 Dry Docking Lane,"Leonardtown,MD,20650",St. Mary's,Environmental/Health Impact,09/11/2012,08/05/2010
66460,The Plantations,US 50 and Old Railroad Rd,"Hebron,MD,21837",Wicomico,Environmental/Health Impact,03/21/2014,03/05/2009
66464,Chesapeake Ridge Apartments,Marrysville Rd,"North East,MD,21901",Cecil,Environmental/Health Impact,10/04/2013,11/18/2010
66471,"Greise Brothers Packing, Inc.",11901 Greise Farm Rd,"Cumberland,MD,21502",Allegany,Environmental/Health Impact,08/07/2013,01/23/2009
66589,4226 Lynhurst Rd. Ronald Nestor,4226 Lynhurst Rd,"Dundalk,MD,21222",Baltimore,Environmental/Health Impact,10/05/2012,01/08/2009
66710,Uplands Apts Demo Sediment Complaint,Edmondson Ave at Swann Ave,"Baltimore,MD,21229",Baltimore City,Environmental/Health Impact,04/23/2013,04/22/2009
66714,"John Eggers, 6115 Emerald Lane, pond","6115 Emerald Lane, John Eggers","Eldersburg,MD,21784",Carroll,Environmental/Health Impact,07/30/2014,04/03/2009
66767,Dennis Edwards,19290 Prisitne Way,"Drayden,MD,20630",St. Mary's,Environmental/Health Impact,,04/21/2009
66824,"John Price Property - Hood Road, So. Co. NTW Violation","Hood Rd, Eastern Side","Manokin,MD,21867",Somerset,Environmental/Health Impact,08/05/2014,10/10/2008
66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,Environmental/Health Impact,03/31/2016,02/26/2009
66839,Garrison Forest Veterans Cemetary Expansion,Garrison Forest Veterans Cemetary,"Owings Mills,MD,21117",Baltimore,Environmental/Health Impact,01/13/2013,06/10/2010
66989,Jim Edelen,14145 Banks ODee Rd,"Newburg,MD,20664",Charles,Environmental/Health Impact,03/23/2017,05/22/2012
67031,John Murphy Shoreline,Ewing Rd,"Bethlehem,MD,21609",Caroline,Environmental/Health Impact,11/11/2012,05/14/2009
67100,Project - Gate 24 Improvements,Route 24,"Aberdeen Proving Ground,MD,21005",Harford,Environmental/Health Impact,12/13/2017,04/28/2009
67311,2534 Island View Road - floating pier,"2534 Island View Rd, Andy Mattes","Essex,MD,21221",Baltimore,Environmental/Health Impact,07/28/2016,01/27/2010
67335,Anon @ Wye Island Rd.,425 Wye Island Rd,"Queenstown,MD,21658",Queen Anne's,Environmental/Health Impact,08/05/2014,06/22/2009
67336,Richard Giddings property,3242 Laurel Fort Meade Rd,"Laurel,MD,20724",Anne Arundel,Environmental/Health Impact,07/26/2016,05/08/2009
67337,Armour Farms Inc.,2100 Biggs Hwy.,"Rising Sun,MD,21911",Cecil,Environmental/Health Impact,10/31/2012,05/18/2009
67348,"D. H. Bader Management Services, Inc.",Old Stage Rd,"Bowie,MD,20716",Prince George's,Environmental/Health Impact,04/17/2013,06/08/2009
67362,"Zann Properties, 1534 Arena Road, Street, MD 21154",1534 Arena Rd,"Street,MD,21154",Harford,Environmental/Health Impact,05/12/2014,04/01/2009
67416,Garrett County Roads Dept. - Big Run Dike,Big Run State Park,"Grantsville,MD,21536",Garrett,Environmental/Health Impact,10/24/2012,05/06/2009
67548,Island Hideaway,14556 Solomons Island Rd,"Solomons,MD,20688",Calvert,Environmental/Health Impact,07/06/2016,06/15/2009
67554,Rodger Carter,57 Overlook Drive,"Annapolis,MD,21401",Anne Arundel,Environmental/Health Impact,10/05/2012,02/23/2009
67566,Oak Crest Center PH 1,Oak Crest Rd,"Hollywood,MD,20636",St. Mary's,,,06/16/2020
67579,C4ISR Center of Excellance,Boothby Hill,"Aberdeen,MD,21001",Harford,Environmental/Health Impact,12/15/2017,06/30/2008
67626,Larry and Mary Reida,3380 Soper Road,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,09/24/2013,06/29/2009
67629,Joseph Tucker,4836 Siegert Lane,"Galesville,MD,20765",Anne Arundel,Environmental/Health Impact,04/22/2014,06/24/2009
67659,"Fisher Marine Construction, Inc",735 South Main St,"Chincoteague,VA,23336",Outside of Maryland,Environmental/Health Impact,11/20/2013,02/19/2009
67711,Amtrak Way,Amtrak Way,"Linthicum,MD,21090",Anne Arundel,Environmental/Health Impact,03/06/2014,07/17/2009
67716,Tom Urbanski,1753 Governor Bridge Road,"Davidsonville,MD,21035",Anne Arundel,Environmental/Health Impact,06/02/2016,06/23/2009
67832,Marlboro Ridge,4101 Ritchie Marlboro Rd,"Upper Marlboro,MD,20772",Prince George's,Environmental/Health Impact,01/14/2013,05/14/2009
67863,Roy @ 213 Stoney Bar Bluff Rd.,213 Stoney Bar Bluff Rd,"Grasonville,MD,21638",Queen Anne's,Environmental/Health Impact,11/05/2013,05/20/2009
67893,Lakeview at Brandywine,Route 373 and MD 5,"Brandywine,MD,20613",Prince George's,Environmental/Health Impact,03/26/2013,08/25/2011
67897,"Artery - Beazer Clarksburg, LLC - Greenway Village at Clarksburg",Skylark Rd and (MD 27)Ridge Rd Intersection,"Clarksburg,MD,20871",Montgomery,Environmental/Health Impact,02/10/2011,02/09/2011
67920,1994 Mitchell Avenue,1994 Mitchell Avenue,"Aberdeen,MD,21001",Harford,Environmental/Health Impact,12/15/2017,05/20/2009
67926,3667 First Avenue,3667 First Ave,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,06/02/2016,06/05/2009
67979,"John H. Burbage, Jr Property",12541 Ocean Reef Drive,"Berlin,MD,21811",Worcester,Environmental/Health Impact,06/27/2013,04/19/2009
68002,Project - AAFB- Bldg 1535,Alabama Drive and Arkansas Rd,"Andrews Airforce Base,MD,20762",Prince George's,Environmental/Health Impact,12/23/2013,10/23/2013
68017,beside 28248 Riverside Dr.,"beside 28248 Riverside Dr., James M. Bennett","Fruitland,MD,21801",Wicomico,,03/02/2015,06/04/2009
68082,Mr. Donald Madden,12209 Hollybank Drive,"Fort Washington,MD,20784",Prince George's,Environmental/Health Impact,08/04/2017,10/06/2009
68105,"Southern States Cooperative - Preston, MD",107 Backlanding Road,"Preston,MD,21655",Caroline,Environmental/Health Impact,12/18/2018,05/07/2009
68106,Norris Taylor Property off Nixon Road,Nixon Road,"Easton,MD,21601",Talbot,Environmental/Health Impact,03/07/2013,05/07/2009
68226,Linden Welch,2190 Potts Point Rd,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,12/01/2016,07/14/2011
68239,Janet Yarmola,17871 Clark Rd,"Tall Timbers,MD,20690",St. Mary's,Environmental/Health Impact,04/11/2013,06/09/2009
68244,The VIllas @ Settlers Landing,FDR Blvd,"California,MD,20619",St. Mary's,Environmental/Health Impact,01/28/2013,09/27/2012
68340,3109 Abingdon Road LLC,3109 Abingdon Road,"Bel Air,MD,21014",Harford,Environmental/Health Impact,01/18/2018,07/21/2013
68358,Metroplace,Talmadge Circle,"Morningside,MD,20746",Prince George's,Environmental/Health Impact,04/03/2017,07/19/2009
68375,Bel Air Service Center,"16010 McMullen Hwy, SW","Cumberland,MD,21502",Allegany,Environmental/Health Impact,10/29/2013,07/08/2009
68447,"James Strippy, Jr.",2180 Potts Point Rd,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,11/15/2012,07/31/2009
68447,"James Strippy, Jr.",2180 Potts Point Rd,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,12/20/2012,07/31/2009
68452,"8918 Hinton Avenue - Pier, Platform",8918 HInton Ave,"Sparrows Point,MD,21219",Baltimore,Environmental/Health Impact,10/03/2012,10/09/2009
68466,Willow Woods Subdivison,"Willow Woods, Tax map 113, Grid 9, Parcel 285, Willow Lane","La Plata,MD,20646",Charles,Environmental/Health Impact,10/03/2017,08/10/2017
68479,Byron and Marie Nashold,6119 Twin Point Cove Rd,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,03/06/2014,06/11/2009
68480,Edmund and Cheryl Skrodzki,6115 Twin Point Cove Rd,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,09/22/2014,05/15/2009
68484,Rodney and Carrie Garvin,5144 Paw Paw Point Road,"Cambridge,MD,21613",Dorchester,,02/05/2014,06/03/2009
68485,Cattail Crossing-Phase 1,"Canvasback Way, at Washington St. (MD 343)","Cambridge,MD,21613",Dorchester,Environmental/Health Impact,04/06/2017,11/16/2009
68491,Nancy Chau Bounds,6316 Cabin Creek Rd,"Hurlock,MD,21643",Dorchester,Environmental/Health Impact,03/04/2020,06/26/2009
68492,Jeffrey and Sheila Fooks,"5100 block of River Rd., Tax Map 6, Parcel 200","Hurlock,MD,21643",Dorchester,Environmental/Health Impact,04/03/2013,07/24/2009
68494,Pleasant Rifts,5900 block of MD 14,"Secretary,MD,21664",Dorchester,Environmental/Health Impact,04/06/2017,10/31/2009
68538,Four Seasons at Kent Island,800 Castle Marina Rd,"Chester,MD,21619",Queen Anne's,Environmental/Health Impact,06/01/2018,02/12/2018
68563,William Steffey and Joseph Van Nest Steffey property,186 and 188 W. Lake Drive,"Annapolis,MD,21403",Anne Arundel,Environmental/Health Impact,01/28/2013,08/27/2009
68582,Kaufmann/Ketter property,4116 Shoreham Beach Rd,"Mayo,MD,21106",Anne Arundel,Environmental/Health Impact,12/22/2014,08/20/2009
68608,Mr. Ulises Visencio,8140 Woodyard Rd,"Clinton,MD,20735",Prince George's,Environmental/Health Impact,04/03/2017,08/28/2009
68625,Foxtail Crossing,"2332 Hudson Rd, at Foxtail Drive","Cambridge,MD,21613",Dorchester,Environmental/Health Impact,12/12/2012,12/12/2012
68678,City of Havre de Grace Municipal Disposal Site,Quarry Rd,"Havre De Grace,MD,21078",Harford,Environmental/Health Impact,11/20/2012,08/14/2009
68688,Chesapeake Inn In Chesapeake City,605 2nd Street,"Chesapeake City,MD,21915",Cecil,Environmental/Health Impact,03/21/2014,08/19/2009
68692,Flint Drive Lot Four,Flint Drive,"North East,MD,21901",Cecil,,,
68695,Thomas DeVito Jr,16099 Cobb Island Road,"Newburg,MD,20664",Charles,Environmental/Health Impact,,08/18/2009
68703,Kenneth Muller,8525 Bayside Rd,"Chesapeake Beach,MD,20732",Calvert,Environmental/Health Impact,09/04/2013,09/01/2009
68712,Anon @ Sunset Rd.,304 Sunset Road,"Chester,MD,21619",Queen Anne's,Environmental/Health Impact,11/05/2014,09/08/2009
68717,Patuxent Palisades Homeowners Assoc.,adjacent 4110 Patuxent Ct,"Dunkirk,MD,20754",Calvert,Environmental/Health Impact,08/01/2016,09/11/2009
68718,Richard Logan,4110 Patuxent Court,"Dunkirk,MD,20754",Calvert,Environmental/Health Impact,07/06/2016,09/16/2009
