"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"339",31396,"Anne Arundel County Sanitary Sewer Overflows","County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000","Anne Arundel","Penalty Settlement",NA,"03/03/2013","03/03/2013","Surface Water Discharge Unauthorized","Collection System (SSO)",39.0088971512755,-76.6032859792354
"340",31396,"Anne Arundel County Sanitary Sewer Overflows","County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000","Anne Arundel","Penalty Settlement",NA,"01/31/2013","01/31/2013","Surface Water Discharge Unauthorized","Collection System (SSO)",39.0088971512755,-76.6032859792354
"341",31396,"Anne Arundel County Sanitary Sewer Overflows","County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000","Anne Arundel","Penalty Settlement",NA,"08/22/2013","08/22/2013","Surface Water Discharge Unauthorized","Collection System (SSO)",39.0088971512755,-76.6032859792354
"342",31396,"Anne Arundel County Sanitary Sewer Overflows","County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000","Anne Arundel","Penalty Settlement",NA,"09/02/2014","01/06/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.0088971512755,-76.6032859792354
"343",31396,"Anne Arundel County Sanitary Sewer Overflows","County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000","Anne Arundel","Penalty Settlement","PS-17-2475","07/17/2017","07/24/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",39.0088971512755,-76.6032859792354
"344",31398,"Charles County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Charles","Penalty Settlement","SP-13-1910","05/15/2013","05/16/2013","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"345",31398,"Charles County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Charles","Penalty Settlement","PS-16-2311","09/16/2015","09/28/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"346",31398,"Charles County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Charles","Penalty Settlement","PS-16-2346","12/04/2015","12/29/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"347",31401,"Saint Mary's County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","St. Mary's","Penalty Settlement","PS-13-1738","08/16/2012","09/11/2012","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"348",31401,"Saint Mary's County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","St. Mary's","Penalty Settlement","SAP-17-2416","08/04/2016","08/31/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"349",31402,"Carroll County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Carroll","Penalty Settlement","PS-15-2282","06/16/2015","07/24/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"350",31403,"Frederick County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Frederick","Penalty Settlement","PS-15-2281","07/09/2015","08/12/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"351",31403,"Frederick County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Frederick","Penalty Settlement","PS-17-2452","04/04/2017","04/11/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"352",31403,"Frederick County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Frederick",NA,"PS-21-2679","11/02/2020","11/23/2020","Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"353",31404,"Garrett County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Garrett","Penalty Settlement","PS-17-2444","03/24/2017","04/03/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"354",31405,"Allegany County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Allegany","Consent Order","CO-07-0395","10/26/2006",NA,"Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"355",31405,"Allegany County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Allegany","Consent Decree","C-98-16009-S","10/15/1998",NA,"Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"356",31406,"Washington County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Washington","Penalty Settlement","PS-16-2291","07/22/2015","07/29/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"357",31406,"Washington County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Washington","Penalty Settlement","PS-17-2447","03/24/2017","04/12/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"358",31407,"Cecil County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Cecil","Penalty Settlement","PS-13-1928","05/15/2013","07/02/2013","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"359",31407,"Cecil County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Cecil","Penalty Settlement","PS-15-2233","03/31/2015","04/22/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"360",31407,"Cecil County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Cecil",NA,"PS-20-2642","02/28/2020","09/04/2020","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"361",31407,"Cecil County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Cecil",NA,"PS-20-2642","02/28/2020","09/04/2020","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Municipal Minor",38.8181992843377,-76.1587300003377
"362",31408,"Harford County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Harford","Penalty Settlement","PS-13-1718","07/12/2012","08/12/2012","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"363",31408,"Harford County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Harford","Penalty Settlement","PS-16-2314","07/17/2015","10/07/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"364",31408,"Harford County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Harford","Penalty Settlement","PS-17-2419","08/23/2016","09/20/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"365",31409,"Howard County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Howard","Penalty Settlement",NA,"08/16/2012","10/02/2012","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"366",31409,"Howard County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Howard","Penalty Settlement",NA,"10/02/2013","11/15/2013","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"367",31409,"Howard County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Howard","Consent Order",NA,"03/09/2010",NA,"Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"368",31409,"Howard County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Howard","Penalty Settlement","PS-15-2172","11/13/2014","12/26/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"369",31409,"Howard County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Howard","Stipulated Penalty","SP-18-2511","03/06/2018","05/09/2018","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"370",31409,"Howard County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Howard","Stipulated Penalty","SP-20-2608","09/06/2019","10/08/2019","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"371",31411,"Kent County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Kent","Penalty Settlement","PS-15-2150","08/16/2012","11/06/2012","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"372",31411,"Kent County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Kent","Penalty Settlement","PS-15-2150","08/10/2011","09/23/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"373",31411,"Kent County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Kent","Penalty Settlement","PS-15-2150","08/12/2014","09/12/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"374",31411,"Kent County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Kent","Penalty Settlement","PS-16-2284","07/22/2015","08/12/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"375",31412,"Queen Anne's County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Queen Anne's","Penalty Settlement","PS-16-2288","07/22/2015","08/18/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"376",31413,"Somerset County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Somerset","Penalty Settlement","PS-16-2379","03/03/2016","03/15/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"377",31413,"Somerset County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Somerset","Penalty Settlement","PS-17-2449","04/04/2017","05/12/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"378",31413,"Somerset County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Somerset","Penalty Settlement","PS-20-2643","02/24/2020","09/04/2020","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"379",31413,"Somerset County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Somerset","Penalty Settlement","PS-20-2643","02/24/2020","09/04/2020","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Municipal Minor",38.8181992843377,-76.1587300003377
"380",31414,"Talbot County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Talbot","Penalty Settlement","PS-16-2403","07/07/2016","06/27/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"381",31416,"Worcester County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Worcester","Penalty Settlement","PS-15-2252","05/21/2015","06/09/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"382",31416,"Worcester County Sanitary Sewer Overflows","County Wide Sewerage System","County-wide,MD,00000","Worcester","Settlement Agreement","SAP-17-2420","08/23/2016","09/07/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.8181992843377,-76.1587300003377
"383",31417,"Washington Suburban Sanitary Commission Sanitary Sewer Overflows","Sewerage Systems in Montgomery & Prince George's Counties","PG & Montgolery Counties,MD,00000","Statewide","Consent Decree","PJM-04-3679","07/21/2005",NA,"Surface Water Discharge Unauthorized","Collection System (SSO)",39.6403150401122,-78.7546599137852
"384",31417,"Washington Suburban Sanitary Commission Sanitary Sewer Overflows","Sewerage Systems in Montgomery & Prince George's Counties","PG & Montgolery Counties,MD,00000","Statewide","Penalty Settlement","PS-15-2213","03/15/2015","04/08/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.6403150401122,-78.7546599137852
"385",31417,"Washington Suburban Sanitary Commission Sanitary Sewer Overflows","Sewerage Systems in Montgomery & Prince George's Counties","PG & Montgolery Counties,MD,00000","Statewide","Stipulated Penalty","PJM-04-3679","08/09/2016","09/01/2016","Surface Water Discharge Permit","Collection System (SSO)",39.6403150401122,-78.7546599137852
"386",31417,"Washington Suburban Sanitary Commission Sanitary Sewer Overflows","Sewerage Systems in Montgomery & Prince George's Counties","PG & Montgolery Counties,MD,00000","Statewide","Stipulated Penalty","SP-18-2521","04/05/2018","05/04/2018","Surface Water Discharge Unauthorized","Collection System (SSO)",39.6403150401122,-78.7546599137852
"387",31417,"Washington Suburban Sanitary Commission Sanitary Sewer Overflows","Sewerage Systems in Montgomery & Prince George's Counties","PG & Montgolery Counties,MD,00000","Statewide","Stipulated Penalty","SP-20-2614","10/10/2019","08/18/2020","Surface Water Discharge Unauthorized","Collection System (SSO)",39.6403150401122,-78.7546599137852
"388",31417,"Washington Suburban Sanitary Commission Sanitary Sewer Overflows","Sewerage Systems in Montgomery & Prince George's Counties","PG & Montgolery Counties,MD,00000","Statewide",NA,"SP-21-2666","09/01/2020","11/04/2020","Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized","Collection System (SSO)",39.6403150401122,-78.7546599137852
"389",31447,"Abner's Marina","3705 Harbor Road","Chesapeake Beach,MD,20732","Calvert","Consent Decree","CJ-13-1905","04/12/2013","12/18/2018","Surface Water Discharge Permit;Tidal Wetlands","Industrial Stormwater",38.6886389921032,-76.5394429751994
"390",31447,"Abner's Marina","3705 Harbor Road","Chesapeake Beach,MD,20732","Calvert","Penalty Settlement","PS-18-2483","08/23/2017","08/31/2017","Sediment;Surface Water Discharge Permit",NA,38.6886389921032,-76.5394429751994
"391",31553,"Kemira Water Solutions, Inc. - Baltimore Plant","3925 Fort Armistead Road","Curtis Bay,MD,21226","Baltimore City","Penalty Settlement","PS-15-2227","03/04/2015","04/06/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.2064489979253,-76.5402560197018
"392",31562,"Greenlight Biofuels Princess Anne, LLC","11501 Progress Lane","Princess Anne,MD,21853","Somerset","Settlement Agreement","AO-14-2071","07/24/2015","10/16/2015","Surface Water Discharge Unauthorized","Industrial Minor",38.1969949828289,-75.6867279930919
"393",31698,"Camp Winona","6825 Winona Place","Hughesville,MD,20637","Charles","Consent Order","COP-14-2104","06/20/2014","07/28/2016","Groundwater Discharge Permit","Municipal Minor",38.5231899884596,-76.7559219693834
"394",31795,"Lake Haven Mobile Home Park WWTP","11003 Grays Corner Rd","Berlin,MD,21811","Worcester","Complaint & Penalty","AP-20-2611","10/07/2019","01/22/2021","Surface Water Discharge Permit","Municipal Minor",38.3493414413551,-75.1769434810033
"395",31815,"City of Cambridge Combined Sewer Overflows","Cambridge & Vicinity","Cambridge,MD,21613","Dorchester","Amended Consent Decree","C-6032","02/08/1999","12/17/2014","Surface Water Discharge Unauthorized","Collection System (CSO)",38.5696149998593,-76.0817650004177
"396",31846,"C. A. Bean, Inc. - Mechanicsville","29056 Three Notch Rd","Mechanicsville,MD,20659","St. Mary's","Consent Order","SAP-13-1726","08/08/2012","08/08/2012","Sediment",NA,38.4682660168584,-76.7678660143168
"397",32172,"Southern States Cooperative","881 Wilson Rd","Rising Sun,MD,21911","Cecil","Consent Order","COP-10-1023","10/13/2009",NA,"Groundwater Discharge Unauthorized",NA,39.7027230025248,-76.0121569762992
"398",32218,"WSSC - Bi-County Water Main Package Wastewater Treatment Plant","9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr","Chevy Chase,MD,20815","Montgomery","Settlement Agreement","SA-13-1744","10/12/2012","11/13/2012","Surface Water Discharge Permit","Industrial Minor",39.0071285678237,-77.0740395105943
"399",32218,"WSSC - Bi-County Water Main Package Wastewater Treatment Plant","9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr","Chevy Chase,MD,20815","Montgomery","Settlement Agreement","SAP-15-2187","01/07/2015","01/22/2015","Surface Water Discharge Permit","Industrial Minor",39.0071285678237,-77.0740395105943
